appliance_type,brand,model,screen_size,technology,power_consumption_watts,annual_cost_aud,energy_rating,market_availability
Television,Samsung,QN65Q80AAFXZA,65,QLED,230,285,4.5,Available
Television,LG,OLED65C1PUB,65,OLED,180,223,5,Available
Television,Sony,XR65A80J,65,OLED,185,229,4.5,Available
Television,TCL,65C825,65,QLED,210,260,4,Available
Television,Samsung,QN55Q70AAFXZA,55,QLED,160,198,4.5,Available
Television,LG,55UP8000PUA,55,LED,120,149,4,Available
Television,Sony,XR55X90J,55,LED,140,173,4.5,Available
Television,Hisense,55U8G,55,QLED,145,180,4,Available
Television,Samsung,QN43Q60AAFXZA,43,QLED,90,111,4,Available
Television,LG,43UP7500PUA,43,LED,75,93,3.5,Available
Air Conditioner,Daikin,FTXS35LVMA,3.5kW,Inverter,1050,521,5,Available
Air Conditioner,Mitsubishi,MSZ-AP35VGD,3.5kW,Inverter,980,486,5,Available
Air Conditioner,Panasonic,CS-KZ35VKR,3.5kW,Inverter,1020,506,4.5,Available
Air Conditioner,LG,S12EQ,3.5kW,Inverter,1100,546,4.5,Available
Water Heater,Rheem,MP-325,25L,Electric,2400,1890,3,Available
Water Heater,Dux,Proflo,25L,Electric,2200,1733,3.5,Available
Water Heater,Bosch,Tronic,25L,Electric,2000,1575,4,Available
Refrigerator,LG,GF-B590PL,516L,Inverter,150,118,4.5,Available
Refrigerator,Samsung,SRL458ELS,458L,Inverter,142,112,4.5,Available
Refrigerator,Westinghouse,WTB4600AG,453L,Standard,180,142,3.5,Available
